Portugiesisch;Deutsch;Notiz
Agulha / Agulhas;Nadel/n;
A dor varia de pessoa para pessoa;Schmerz variiert von Person zu Person;
Depende de...;es kommt darauf an...;depender de
Parte do corpo;Körperteil;
Por mês / Por semana / Por ano;pro Monat / Woche / Jahr;Zeit-Distribution
Há muito tempo;schon lange;
Estou com ela há muito tempo;Ich bin schon lange mit ihr zusammen;
Eu não sabia;Ich wusste nicht;saber Imperfeito
Mundo real;reale Welt;
Perigoso / Perigosa;gefährlich;
Acho que não;Ich denke nicht;
Decidiu sair;hat entschieden auszusteigen;decidir + Inf
Sair do negócio;aus dem Business aussteigen;
Não estava a me sentir bem;Ich fühlte mich nicht wohl;Imperfeito + estar a + Inf
As coisas não estão a correr bem;Die Dinge laufen nicht gut;estar a correr = laufen
Como eu planejei / planeei;wie ich geplant habe;planear (PT-PT) / planejar (BR)
Planear / Planejar;planen;PT-PT: planear, BR: planejar
Restaurante de fast food;Fast-Food-Restaurant;
Abrir um restaurante;ein Restaurant eröffnen;
Materiais para cozinha;Küchenausstattung / Material;
Fornecedor / Fornecedores;Lieferant/en;
Fritadeira dupla;Doppelfritteuse;
Pedaço / Pedaços;Stück / Stücke;
Dia de folga;Ruhetag / freier Tag;
Dia de descanso;Ruhetag;Synonym von folga
Folga / Descanso;Pause / Erholung;
Hoje é dia de folga para desportos;Heute ist Sport-Ruhetag;Beispielsatz
Depois da nossa aula;nach unserer Stunde;
A 30 minutos da cidade;30 Minuten von der Stadt entfernt;Distanz-Ausdruck
Corte elétrico / Cortes eléctricos;Stromausfall / -ausfälle;
Sem electricidade;ohne Strom;
Não tinha electricidade;es gab keinen Strom;Imperfeito
Quase todo o dia;fast den ganzen Tag;
Agência imobiliária;Immobilienbüro;
Antes de me mudar;bevor ich umzog;antes de + Inf
Antes de + Inf;vor (zeitlich) + Verb;z.B. antes de comer
Tu preparaste;du hast vorbereitet;preparar tu
Tu reagiste;du hast reagiert;reagir tu
Ela deu-me;sie gab mir;dar + Pronomen
Tu mostraste-me;du hast mir gezeigt;mostrar + Pronomen
Uma semana atrás;vor einer Woche;Vergangenheit
Há uma semana;vor einer Woche / seit einer Woche;PT-PT-Standard
Precisar de;brauchen;precisar de algo
Não precisaste;du brauchtest nicht;precisar tu
Pelo menos;wenigstens / mindestens;
Pelo menos tentaste;wenigstens hast du es versucht;
Não tenho coragem;ich habe nicht den Mut;
Surpreso / Surpresa;überrascht;
Ficar surpreso;überrascht sein/werden;ficar + Adj
Lugares lotados;überfüllte Orte;
Lotado / Lotada;überfüllt;
É a vida;So ist das Leben;Standardphrase
Por enquanto;vorerst / im Moment;
Continuar sozinho;alleine weitermachen;
Vila sede;Hauptdorf / Gemeindesitz;
Para ambos;für beide;
Ambos / Ambas;beide;
Molho de alho;Knoblauchsauce;
Restaurantes Árabes;arabische Restaurants;
Sala de conferências;Konferenzraum;
Quarto vs. Sala;Schlafzimmer vs. Raum/Wohnzimmer;WICHTIG: quarto NUR Schlafzimmer
Assinei numa lista;ich habe mich in eine Liste eingetragen;
Mesa fixa;fester Arbeitsplatz;im Coworking
Disponível / Disponíveis;verfügbar / frei;
Não tinha mesas disponíveis;es gab keine freien Tische;
Eu decidi;ich habe mich entschieden;decidir Pretérito
Passo a passo;Schritt für Schritt;
Pagar um serviço;einen Service bezahlen;
Ao invés de;anstatt / anstelle von;
Carne moída;Hackfleisch;
Eu assisto;ich schaue (an);assistir Presente
Tu tens que assistir;Du musst (es) ansehen;
Filme / Filmes;Film / Filme;
Série / Séries;Serie / Serien;
Diretor de cinema;Filmregisseur;
De todos os tempos;aller Zeiten;o melhor de todos os tempos
Jogo / Partida;Spiel / Match;
Grande fã;großer Fan;
Não tenho muito interesse em;Ich habe kein großes Interesse an;
Melhor / Melhores;besser / der/die/das beste;Komparativ unregelmäßig
O melhor;der/das beste;
Mau / Má;schlecht (m/w);Adjektiv
Muita quantidade, pouca qualidade;viel Quantität, wenig Qualität;typische Phrase
Aleatório / Aleatória;zufällig;
Todos eles / Todas elas;alle (von ihnen);
Pergunta / Perguntas;Frage/n;
Fazer perguntas;Fragen stellen;
Antes de vir;bevor (ich) kam;antes de + Inf
Vai e vem;Hin und Her;muito vai e vem com a lei
Fora + Nomen;außer / außerhalb;fora os negócios (außer dem Geschäft)
Na verdade;eigentlich / tatsächlich;na verdade eu tenho treinado muito
Ultimamente;kürzlich / in letzter Zeit;eu treino muito ultimamente
Vi / Assisti o jogo;sah / schaute das Spiel an;ver = sehen, assistir = anschauen (Film/Serie)
Sim, vi / Sim, assisti;ja, ich sah / ich schaute an;
Ajuda a aprender;hilft beim Lernen;ouvir espanhol ajuda a aprender português
Sem sentido;sinnlos;coisas sem sentido
Sério?;ernsthaft?;
Estou a ver;ich verstehe / ich sehe (bildlich);PT-PT Standard-Antwort
Diga não à violência;Sag nein zur Gewalt;
Enfim;jedenfalls / na gut;
Assim espero;das hoffe ich;
No início / No começo;am Anfang;
Muitas vezes;oft (viele Male);
