Portugiesisch;Deutsch;Notiz
Construir uma casa;ein Haus bauen;
Localização;Lage / Standort;Estou numa boa localização
Coworking;Coworking-Space;
Visitei;ich besuchte;visitar Pretérito
Parece;es scheint / sieht aus;parecer
Pesquisa;Recherche / Suche;
Ninguém;niemand;Não conheço ninguém
Ainda;noch / immer noch;Ainda não fiz isso
Esperei;ich wartete;esperar Pretérito
Estresse;Stress;Substantiv
Estavas;du warst;estar Imperfeito
Preparei;ich bereitete zu;preparar Pretérito
Se;wenn / falls;Konjunktion
Doeu;es tat weh;doer Pretérito
Furo;Loch / Piercing;
Paguei;ich bezahlte;pagar Pretérito
Saída;Ausgang / Ausstieg;
Massaroca;frischer Mais (gegrillt);regionales Gericht
Tentaste;du hast versucht;tentar tu
Disse-me;(er/sie) sagte mir;dizer + Pronomen
Coragem;Mut;
Namoro;Beziehung (Boyfriend/Girlfriend);Substantiv
Festas;Partys / Feste;
Metade;Hälfte;
Habitantes;Einwohner;mais de 300 mil habitantes
Vídeos;Videos;
Reservei;ich habe reserviert;reservar Pretérito
Telefone;Telefon / Handy;auch im Sinne 'mobile'
Futebol;Fußball;
Qualidade;Qualität;
Quantidade;Quantität / Menge;
Serviço;Service / Dienstleistung;
Complicação / Complicações;Komplikation(en);muitas complicações com o negócio
Falha humana / Falhas humanas;menschliche(r) Fehler;
Lei / Leis;Gesetz(e);
Regulamentos;Regulierungen;
Relatório;Bericht;
Coração;Herz;coração acelera
Zona;Zone (auch Puls-Zone);zona 0/1/2 (Puls beim Laufen)
Corrida;Lauf / Rennen;corri 12 km
Punho / Punhos;Faust / Fäuste;Kampfsport
Cotovelo / Cotovelos;Ellbogen;
Joelho / Joelhos;Knie;
Pontapé / Pontapés;Tritt / Tritte;
Cenário;Szenario;num cenário da vida real
Luta;Kampf;
Confronto;Konfrontation;confronto de rua
Desporto de combate;Kampfsport;
Confiança;Vertrauen / Selbstvertrauen;dá confiança
Karaté;Karate;
Capoeira;Capoeira;
Basquetebol;Basketball;
Palavrão / Palavrões;Schimpfwort / Schimpfwörter;
Gíria / Gírias;Slang;aprender gírias em português
Tarefa;Aufgabe;não tive tempo para fazer minha tarefa
Alguém / Uma pessoa;jemand / eine Person;
Dedo / Dedos;Finger / Zehen;
Distância;Entfernung;aumentar a distância
Velocidade;Geschwindigkeit;aumentar a velocidade
Treino;Training;teu treino
Serralheiro;Schlosser;
Forno;Ofen;forno para pizza
Hambúrguer;Hamburger;
Shawarma;Shawarma;
Congelador;Gefrierschrank;
Chapa;Grillplatte;chapa de hambúrguer
Lugar;Ort / Platz;
Avião;Flugzeug;pegar um avião
Console / Consolas;Konsole(n);comprar consoles
Fisio;Physio(therapie);vou ter fisio
