Portugiesisch;Deutsch;Notiz
dar;geben;eu dou
partir;abreisen;
abrir;öffnen;
dividir;teilen;
decidir;entscheiden;
discutir;diskutieren;
permitir;erlauben;
admitir;zugeben;
vestir;anziehen;eu visto (e→i!)
servir;servieren;eu sirvo
sentir;fühlen;eu sinto
preferir;bevorzugen;eu prefiro
conseguir;schaffen / können;eu consigo
seguir;folgen;eu sigo
corrigir;korrigieren;eu corrijo (g→j)
dirigir;fahren / leiten;eu dirijo
traduzir;übersetzen;ele traduz (3.Pers ohne -e)
subir;hinaufsteigen;ele sobe (Vokalwechsel)
dormir;schlafen;eu durmo
fugir;fliehen;eu fujo
rir;lachen;
ouvir;hören;eu ouço (mit ç)
pedir;bitten;eu peço
sair;rausgehen;eu saio
cair;fallen;eu caio
construir;bauen;Construí uma casa
mentir;lügen;eu minto
descer;hinuntergehen;eu desço (mit ç!)
esquecer-se;vergessen;"eu esqueço-me; reflexiv konjugieren!"
Eu fui;Ich war / ich ging;ir/ser Pretérito
Eu fiz;Ich habe gemacht;fazer Pretérito
Eu tive;Ich hatte;ter Pretérito
Eu estive;Ich war (gerade);estar Pretérito
Eu vi;Ich habe gesehen;ver Pretérito
Eu disse;Ich habe gesagt;dizer Pretérito
Eu fiquei;Ich blieb;ficar Pretérito
Eu saí;Ich ging raus;sair Pretérito
Eu comi / bebi;Ich aß / trank;
Eu comprei;Ich kaufte;
Eu cozinhei;Ich kochte;
Eu treinei;Ich trainierte;
Eu corri;Ich lief / joggte;
Eu encontrei;Ich traf;
Eu construí;Ich baute;construir
Eu provei;Ich probierte;
Eu notei;Ich bemerkte;
Eles deram;Sie gaben;dar Pretérito
Como foi o teu fim de semana?;Wie war dein Wochenende?;
O que fizeste?;Was hast du gemacht?;
O que tens feito?;Was hast du so gemacht?;Pretérito Perfeito Composto
Eu estava;Ich war (Zustand);estar Imperfeito
Eu tinha;Ich hatte;ter Imperfeito
Eu era;Ich war;ser Imperfeito
Quando era criança;als ich Kind war;typischer Imperfeito-Trigger
Tinha sol;Es war sonnig;Imperfeito beim Wetter
Estava ensolarado;Es war sonnig;
Vivia em Portugal;Ich lebte in Portugal;
Eu gostaria;Ich würde gerne;Konditional - höflich
Queria;Ich hätte gerne;höflich beim Bestellen
Inscrever-se;sich anmelden / einschreiben;z.B. ginásio, curso — reflexiv
Atrasar-se;sich verspäten;reflexiv
Esperar;warten;
Sabor;Geschmack;o sabor
Doer;schmerzen / wehtun;
Furar;durchstechen / piercen;
Variar;variieren;
Pagar;bezahlen;
Vender;verkaufen;
Hamburguer;Burger;spelling: hambúrguer
Tentar;versuchen;
Mostrar;zeigen;
Reagir;reagieren;
Aproximar-se;sich nähern / ansprechen;reflexiv im Kontext
Abordar;ansprechen / zugehen auf;abordar alguém
Namorar;daten / mit jdm. zusammen sein;
Reservar;reservieren / buchen;
Assinar;unterschreiben / sich eintragen;
Praticar;üben / praktizieren;Synonym zu treinar
Assistir;anschauen / zusehen;filme/série assistir
Olhar;schauen (auf etwas);V: olhar para
Escutar;zuhören / lauschen;eu escuto todos os dias
Entender;verstehen;
Compreender;verstehen (Synonym);
Pedir;bitten / bestellen;eu peço
Conseguir;schaffen / hinbekommen;eu consigo
Diferenciar;unterscheiden;diferenciar espanhol de português
Ficar em forma;in Form bleiben;
Acelerar;beschleunigen;o coração acelera
Concordar;zustimmen;eu concordo
Defender-se;sich verteidigen;reflexiv! me defendo
Aproveitar;genießen;aproveite as tuas cervejas!
Desfrutar;genießen (Synonym);
Melhorar;besser werden / verbessern;vai melhorar
Aumentar;erhöhen / steigern;aumentar a distância
Focar (em);sich fokussieren auf;devias focar em dois produtos
Testar;testen;
Preparar;vorbereiten;
Praticar;üben;para praticar
Jogar;spielen (Sport / Spiel);jogar futebol
Tocar;spielen (Instrument) / berühren;tocar guitarra
Brincar;spielen (Kinder);crianças brincam
Pegar;nehmen / greifen;pegar um avião
Voar;fliegen;voar para Moçambique
Roubar;stehlen;roubar a tua ideia
