Portugiesisch;Deutsch;Notiz/Beispiel
descer;hinuntergehen;eu desço (mit ç!)
esquecer-se;vergessen;"eu esqueço-me; reflexiv konjugieren!"
Sempre;immer;
Nunca;nie;
Às vezes;manchmal;
Com frequência;oft;
Quase;fast / beinahe;
Poucas vezes;selten;
Uma vez por semana;einmal pro Woche;
Duas a três vezes por semana;zwei bis drei Mal pro Woche;
Todos os dias;jeden Tag;
Hoje / Ontem / Amanhã;heute / gestern / morgen;
De manhã / De tarde / De noite;morgens / nachmittags / abends;
Cedo / Tarde;früh / spät;
Depois;danach / später / dann;
Depois de;nach (zeitlich);+ Substantiv/Infinitiv
Antes / Antes de;vorher / vor;
Agora;jetzt;
Até agora;bis jetzt;
De novo / Novamente;wieder / nochmal;
Logo / Mais tarde;gleich / später;
Última / Último;letzte/r;No último fim de semana
Segunda-feira;Montag;
Terça-feira;Dienstag;
Quarta-feira;Mittwoch;
Quinta-feira;Donnerstag;
Sexta-feira;Freitag;
Sábado / Domingo;Samstag / Sonntag;
Fim de semana;Wochenende;
Que horas são?;Wie spät ist es?;
É uma hora;Es ist 1 Uhr;Singular!
São duas horas;Es ist 2 Uhr;ab 2: São + Plural
E meia / E um quarto;halb / Viertel nach;
Meio-dia / Meia-noite;Mittag / Mitternacht;
A que horas?;Um wie viel Uhr?;Antwort: às oito
Em casa;zu Hause;
No escritório;im Büro;
Na rua;auf der Straße;
Na praia;am Strand;
No restaurante;im Restaurant;
Cidade / Cidade natal;Stadt / Heimatstadt;
Vila;Dorf;Viver na vila
Faculdade / Universidade;Hochschule / Universität;
Estação do comboio;Bahnhof;PT-PT (BR: estação de trem)
Ginásio;Fitnessstudio;
Sauna;Sauna;
Terraço;Dachterrasse;
Parque;Park;
Floresta;Wald;
Natureza;Natur;Na natureza
Direito / À direita;geradeaus / rechts;
À esquerda;links;
Diretamente;direkt;
Longe;weit (weg);
Perto;nah / in der Nähe;
Aqui / Lá;hier / dort;
Fora;draußen;
Dentro;drinnen;
Alto / Baixo;groß / klein;
Magro / Magra;schlank / dünn;
Gordo / Gorda;dick;
Forte;stark;
Em forma;in Form / fit;
Sarado;muskulös / sportlich;umgangssprachlich
Bonito / Bonita;schön;
Engraçado / Engraçada;lustig;
Inteligente;intelligent;
Ambicioso / Ambiciosa;ehrgeizig;
Tranquilo / Tranquila;ruhig;
Difícil / Fácil;schwierig / einfach;
Cansativo;anstrengend;
Cansado / Cansada;müde;Estou cansado
Feliz / Triste;glücklich / traurig;
Contente;zufrieden / froh;
Saboroso;schmackhaft;
Fresco / Fresca;frisch;
Pesado / Pesada;schwer / deftig (Essen);
Salgado / Doce;salzig / süß;
Subestimado / Subestimada;unterschätzt;
Caro / Barato;teuer / billig;
Delicioso;köstlich;
Sozinho;allein;Eu vivo sozinho
Careca;Glatze / glatzköpfig;
Comprido;lang;
Largo / Larga;breit;
Preguiçoso / Preguiçosa;faul;Substantiv: preguiça
Corpo;Körper;Todo o corpo = full body
Cabeça;Kopf;
Cabelo;Haar;
Olhos;Augen;Olhos castanhos = braune Augen
Pele;Haut;Secura na pele = trockene Haut
Dentes;Zähne;
Mão / Mãos;Hand / Hände;
Dor / Dores;Schmerz / Schmerzen;
Camisa;Hemd;
Calças;Hose;
Calções;kurze Hose;
Casaco;Jacke / Mantel;
Saia;Rock;
Sapatos;Schuhe;
Fato;Anzug;
Branco / Branca;weiß;
Preto / Preta;schwarz;
Vermelho / Vermelha;rot;
Azul / Azuis;blau (Sg/Pl);
Verde;grün;
Amarelo / Amarela;gelb;
Castanho / Castanha;braun;
Cinzento / Cinzenta;grau;
Cor-de-laranja;orange;
Cor-de-rosa;rosa;
Louro / Loiro;blond;
Dourado;golden;
Comida;Essen;Comida favorita = Lieblingsessen
Pequeno-almoço;Frühstück;
Almoço / Jantar;Mittagessen / Abendessen;
Café;Kaffee;
Pão;Brot;
Manteiga;Butter;
Queijo / Queijos;Käse;
Arroz;Reis;
Massa;Pasta / Nudeln;
Carne;Fleisch;
Peixe;Fisch;
Frango / Peito de frango;Hähnchen / Hähnchenbrust;
Fígado;Leber;
Feijão;Bohnen;
Aveia;Hafer;
Ovos;Eier;
Cebola;Zwiebel;
Alho;Knoblauch;
Limão;Zitrone;
Cenoura;Karotte;
Batata / Batatas;Kartoffel/n;
Pepino;Gurke;
Temperos;Gewürze;Páprica, folha de louro...
Sopa;Suppe;
Bolo;Kuchen;
Sushi;Sushi;
Bitoque;Bitoque (typisches PT-Gericht);Schweinefleisch + Reis + Pommes + Ei
Fruta;Frucht / Obst;
Morango;Erdbeere;Época de morango = Erdbeerzeit
Ananás;Ananas;PT-PT (BR: abacaxi)
Papaia;Papaya;
Graviola;Stachelannone;tropische Frucht
Maçã / Banana / Laranja;Apfel / Banane / Orange;
Estou com fome;Ich habe Hunger;estar com + Substantiv
Estou com sede;Ich habe Durst;
Estou com sono;Ich bin müde / schläfrig;
Estou com calor / frio;Mir ist heiß / kalt;
Estou com medo;Ich habe Angst;
Estou com saudades;Ich habe Sehnsucht;typisch portugiesisch!
Estou com inveja;Ich bin neidisch;
Estou com vontade de;Ich habe Lust auf;+ Inf/Substantiv
Estou com dor de dentes;Ich habe Zahnschmerzen;
Estou bem;Es geht mir gut;
Estou cheio;Ich bin satt;
Estou cansado;Ich bin müde;
Estou feliz;Ich bin glücklich;
Me sinto muito bem;Ich fühle mich sehr gut;sentir-se reflexiv
Muito bem disposto;sehr gut gelaunt;
Diverti-me;Ich hatte Spaß;divertir-se
Foi divertido / Foi fixe;Es hat Spaß gemacht / Es war cool;fixe = umgangssprachlich
Estou a + Inf;Ich bin gerade dabei zu...;PT-PT (BR: -ndo Form)
Estou a trabalhar;Ich arbeite gerade;
Está a funcionar;Es funktioniert (gerade);
Está a chover;Es regnet (gerade);
O que estás a fazer agora?;Was machst du gerade?;
Vou cozinhar;Ich werde kochen;ir + Inf
Vou viajar amanhã;Ich werde morgen reisen;
O que vais fazer?;Was wirst du machen?;
Fazer a mala;den Koffer packen;
Eu fui;Ich war / ich ging;ir/ser Pretérito
Eu fiz;Ich habe gemacht;fazer Pretérito
Eu tive;Ich hatte;ter Pretérito
Eu estive;Ich war (gerade);estar Pretérito
Eu vi;Ich habe gesehen;ver Pretérito
Eu disse;Ich habe gesagt;dizer Pretérito
Eu fiquei;Ich blieb;ficar Pretérito
Eu saí;Ich ging raus;sair Pretérito
Eu comi / bebi;Ich aß / trank;
Eu comprei;Ich kaufte;
Eu cozinhei;Ich kochte;
Eu treinei;Ich trainierte;
Eu corri;Ich lief / joggte;
Eu encontrei;Ich traf;
Eu construí;Ich baute;construir
Eu provei;Ich probierte;
Eu notei;Ich bemerkte;
Eles deram;Sie gaben;dar Pretérito
Como foi o teu fim de semana?;Wie war dein Wochenende?;
O que fizeste?;Was hast du gemacht?;
O que tens feito?;Was hast du so gemacht?;Pretérito Perfeito Composto
Eu estava;Ich war (Zustand);estar Imperfeito
Eu tinha;Ich hatte;ter Imperfeito
Eu era;Ich war;ser Imperfeito
Quando era criança;als ich Kind war;typischer Imperfeito-Trigger
Tinha sol;Es war sonnig;Imperfeito beim Wetter
Estava ensolarado;Es war sonnig;
Vivia em Portugal;Ich lebte in Portugal;
Eu gostaria;Ich würde gerne;Konditional - höflich
Queria;Ich hätte gerne;höflich beim Bestellen
Eu sei + Inf;Ich kann + Inf (gelernt);Sei nadar = Ich kann schwimmen
Posso + Inf;Ich darf / kann + Inf;Erlaubnis/Möglichkeit
Eu tento + Inf;Ich versuche + Inf;
Tenho que + Inf;Ich muss + Inf;
Comecei a + Inf;Ich habe angefangen zu...;começar a
Continuar a + Inf;weiter machen;
Mas;aber;
Também;auch;
Então;also / dann;Füllwort
Por exemplo;zum Beispiel;
Principalmente;vor allem;
Infelizmente;leider;
Felizmente;zum Glück;
Assim;so / auf diese Weise;
Quase;fast;
Só / Apenas;nur;
Já;schon;
Ainda;noch;
Para / Por;für / durch;Faustregel: para=Ziel, por=Grund
Comigo;mit mir;
Contigo;mit dir;
Connosco / Conosco;mit uns;PT-PT: connosco
Convosco;mit euch;
Para ti / Para si;für dich / für Sie;
Tu tens razão;Du hast Recht;
Não há problema;Kein Problem;
Não é bem...;Es ist nicht wirklich...;
É verdade;Das stimmt;
Acho que...;Ich denke, dass...;
O que achas?;Was hältst du davon?;
Quero te contar uma coisa;Ich möchte dir etwas erzählen;
O que mais?;Was noch?;
Pouco a pouco;Stück für Stück;
Vamos chegar lá;Wir werden es schaffen;
Sem consistência, sem sucesso;Ohne Konsistenz kein Erfolg;Spruch
Quanto mais tu tentas, mais chances tens;Je mehr du versuchst, desto mehr Chancen;Spruch
Não há sucesso sem riscos;Kein Erfolg ohne Risiken;
Não tens muito a perder;Du hast nicht viel zu verlieren;
Trabalho com / como;Ich arbeite mit / als;com=Bereich, como=Rolle
Negócio;Geschäft;
Cliente;Kunde;
Parceiro / Parceira de negócios;Geschäftspartner/in;
Colega;Kollege/in;
Aplicação / App;App / Anwendung;
Sessão de fotos;Foto-Session;
Website;Website;
Mensagem / Mensagens;Nachricht/en;
Inteligência artificial;künstliche Intelligenz;
Sucesso;Erfolg;
Consistência;Konsistenz / Beständigkeit;
Riscos;Risiken;
Capítulo;Kapitel;Um novo capítulo
Futuro;Zukunft;Para o meu futuro
Resolver;lösen;
Fazer desporto;Sport machen;PT-PT (BR: esporte)
Treino / Treinar;Training / trainieren;
Quilómetros;Kilometer;PT-PT mit -ó (BR: quilômetros)
Caminhada;Spaziergang;
Corrida;Lauf / Joggen;
Aprendizagem;Lernen / Lernprozess;
Vocabulário;Vokabular;
Conversação;Konversation;
Conversar por mensagem;per Nachricht chatten;
Estou satisfeito;Ich bin zufrieden;
Progresso;Fortschritt;
Comer fora;auswärts essen;
Cultura de comer fora;Restaurantkultur;
Restaurante tradicional;traditionelles Restaurant;
Doce de mandioca;Maniok-Süßspeise;
Matraquilhos;Tischkicker;PT-PT-Wort
Tempo / Clima;Wetter / Klima;
Temperatura;Temperatur;
Tem sol / Está ensolarado;Es ist sonnig;
Chove / Está a chover;Es regnet;
Frio / Calor;Kalt / Hitze;Está frio / Está calor
Nuvens / Céu;Wolken / Himmel;
Inverno / Verão / Primavera / Outono;Winter / Sommer / Frühling / Herbst;
22 graus;22 Grad;
Flores / Árvores;Blumen / Bäume;
Arco-íris;Regenbogen;
Casa;Haus / Zuhause;
Casa de banho;Badezimmer / Toilette;Onde fica a casa de banho?
Construir uma casa;ein Haus bauen;
Coisa / Coisinhas;Sache / Kleinigkeiten;
Mistura;Mischung;
A mesma coisa;dasselbe;
Atrasado / Atrasada;verspätet;Atrasar-se = sich verspäten
Mudar-se;umziehen;reflexiv: De me mudar
Levar;mitnehmen / bringen;
Colocar / Pôr;setzen / legen;
Focar;sich konzentrieren;
Energia;Energie;Dá-te muita energia
Quão grande?;Wie groß?;
Durante o dia / a semana;während des Tages / der Woche;
Rotina semanal;Wochenroutine;
Infância;Kindheit;
