Portugiesisch;Deutsch;Notiz/Beispiel
para;für / zum / nach;[L01] Präposition
o pintor / a pintora;Maler / Malerin;[L01] Beruf
o cantor / a cantora;Sänger / Sängerin;[L01]
o tradutor / a tradutora;Übersetzer / Übersetzerin;[L01]
o médico / a médica;Arzt / Ärztin;[L01]
o advogado / a advogada;Anwalt / Anwältin;[L01]
o cabeleireiro / a cabeleireira;Friseur / Friseurin;[L01]
o jornalista / a jornalista;Journalist (gleich m/f);[L01]
o dentista / a dentista;Zahnarzt (gleich m/f);[L01]
o motorista / a motorista;Fahrer (gleich m/f);[L01]
o estudante / a estudante;Student (gleich m/f);[L01]
Onde fica a casa de banho?;Wo ist die Toilette?;[L01] praktische Frage
Estou um pouco cansado;Ich bin ein bisschen müde;[L02] estar
Também estou cansado;Ich bin auch müde;[L02]
Casado / Casada;verheiratet;[L02] Estado civil
Solteiro / Solteira;ledig;[L02]
Divorciado / Divorciada;geschieden;[L02]
Viúvo / Viúva;verwitwet;[L02]
Qual é a profissão de...?;Was ist der Beruf von...?;[L02]
Quantos anos tem?;Wie alt ist er/sie?;[L02]
Que idade tem?;Welches Alter hat er/sie?;[L02] alternative Frage
Qual é o número de telefone?;Wie ist die Telefonnummer?;[L02]
apanhar;nehmen, fangen;[L02] Verb
apanhar o metro;die U-Bahn nehmen;[L02]
comprar;kaufen;[L02]
almoçar;zu Mittag essen;[L02] Achtung: ç!
tomar café;Kaffee trinken;[L02]
escritório;Büro;[L02]
faculdade;Fakultät / Hochschule;[L02]
Estou na Alemanha;Ich bin in Deutschland;[L03] estar + em (na)
É difícil;Es ist schwierig;[L03]
Não é fácil;Es ist nicht einfach;[L03]
Como foi o seu fim de semana?;Wie war dein Wochenende?;[L03] Pretérito
Foi muito difícil;Es war sehr schwer;[L03]
O que tu fizeste no fim de semana?;Was hast du am Wochenende gemacht?;[L03] fazer im Pretérito
No sábado eu fui ver...;Am Samstag war ich (besichtigen)...;[L03]
Ontem eu saí para comer;Gestern bin ich essen gegangen;[L03] sair Pretérito
Depois;danach / später / dann;[L03]
Que fazes?;Was machst du?;[L03] Presente
O que é que estás a fazer agora?;Was machst du gerade?;[L03] Verlaufsform
Assim;so / auf diese Weise;[L03]
Diverti-me;Ich hatte Spaß;[L03]
Foi divertido;Es hat Spaß gemacht;[L03]
Foi fixe;Es war cool;[L03] Slang
Almoçar;zu Mittag essen;[L03]
Jantar;zu Abend essen / Abendessen;[L03]
Apanhar;nehmen / fangen;[L03]
Ela é só uma amiga;Sie ist nur eine Freundin;[L03]
Quem;Wer;[L03] Fragewort - nur Personen
Como;Wie;[L03]
Qual / Que / O que;Welche/r / Was;[L03]
Quantos;Wie viele;[L03]
Onde;Wo;[L03]
Quando;Wann;[L03]
Quanto;Wie viel / Wie lange;[L03]
Qual é o gel que usas?;Welches Gel benutzt du?;[L03] qual = Auswahl
Que gel é este?;Was für ein Gel ist das?;[L03]
inteligente;intelligent;[L03]
ambicioso;ehrgeizig;[L03]
forte;stark;[L03]
em forma;in Form / fit;[L03]
sarado;muskulös / sportlich (umgangssprachlich);[L03]
cabelo castanho;braune Haare;[L03]
olhos castanhos;braune Augen;[L03]
Então;also / dann;[L04] Füllwort
Eu não estou cansado;Ich bin nicht müde;[L04]
Me sinto muito bem;Ich fühle mich sehr gut;[L04]
Muito bem disposto;sehr gut gelaunt;[L04]
Dor / Dores;Schmerz / Schmerzen;[L04]
As dores passaram;Die Schmerzen sind weg;[L04] passar
Direito;gerade / rechts;[L04]
Diretamente;direkt;[L04]
Sozinho;allein;[L04]
Eu vivo sozinho;Ich lebe allein;[L04]
Acordar;aufwachen;[L04]
Levantar-se;aufstehen;[L04] reflexiv
Começar;anfangen;[L04]
Escritório;Büro;[L04]
Estação;Station / Bahnhof;[L04]
Estação do comboio;Bahnhof;[L04] PT-PT (BR: estação de trem)
Apanhar;nehmen / fangen;[L04]
Chegar;ankommen;[L04]
Atrasar-se;sich verspäten;[L04]
Atrasado / Atrasada;verspätet;[L04]
Longe;weit / weit weg;[L04]
Perto;in der Nähe;[L04]
Eu janto com meus amigos;Ich esse mit meinen Freunden zu Abend;[L04]
Regressar / Retornar / Voltar;zurückkehren;[L04] drei Synonyme
Ir — eu vou;gehen — ich gehe;[L04] ir Presente
Ir — tu vais;du gehst;[L04]
Ir — ele/ela vai;er/sie geht;[L04]
Ir — nós vamos;wir gehen;[L04]
Ir — eles vão;sie gehen;[L04]
Vir — eu venho;kommen — ich komme;[L04] vir Presente
Vir — tu vens;du kommst;[L04]
Vir — ele/ela vem;er/sie kommt;[L04]
Vir — nós vimos;wir kommen;[L04]
Vir — eles vêm;sie kommen;[L04]
Estou no Brasil;Ich bin in Brasilien;[L04] em + o = no
Estou na praia;Ich bin am Strand;[L04] em + a = na
Estou nos hotéis de Lisboa;Ich bin in den Hotels von Lissabon;[L04] em + os = nos
Alto;groß / hoch;[L04]
Cabelo;Haar;[L04]
Preto;schwarz;[L04]
Louro / Loiro;blond;[L04]
Azul;blau;[L04]
Magra / Magro;schlank;[L04]
Bonita / Bonito;schön;[L04]
Engraçado;lustig;[L04]
A casa do Paulo é bonita;Paulos Haus ist schön;[L04] Possessiv mit do/da
A comida de Portugal é muito boa;Das Essen in Portugal ist sehr gut;[L04]
O inverno da Alemanha é muito frio;Der Winter in Deutschland ist sehr kalt;[L04]
Gordo / Gorda;dick;[L04]
Magro / Magra;dünn;[L04]
Careca;Glatze / glatzköpfig;[L04]
Camisa;Hemd;[L04]
Calças;Hose;[L04]
Casaco;Jacke / Mantel;[L04]
Calções;kurze Hose;[L04]
Saia;Rock;[L04]
Cor-de-laranja;orange (Farbe);[L04]
Cor-de-rosa;rosa;[L04]
Bandeira;Flagge;[L04]
Largas;breit;[L04]
Saboroso;schmackhaft;[L04]
Fresco;frisch;[L04]
Pais;Eltern;[L04] Achtung: ohne Akzent!
País;Land;[L04] Achtung: mit Akzent!
Dele;von ihm / sein;[L04] de + ele
Dela;von ihr / ihr;[L04] de + ela
Estou feliz;Ich bin glücklich;[L05]
Comecei uma nova rotina;Ich habe eine neue Routine angefangen;[L05] começar Pretérito
Eu acordo cedo;Ich wache früh auf;[L05]
Caminhada;Spaziergang;[L05]
Corrida;Lauf / Joggen;[L05]
Similar / Parecida;ähnlich;[L05]
Acordo às 6:30;Ich wache um 6:30 auf;[L05] às horas
Às vezes;manchmal;[L05]
Às vezes ficamos cansados;Manchmal werden wir müde;[L05]
Não tive muito tempo;Ich hatte nicht viel Zeit;[L05]
Esta semana;diese Woche;[L05]
Foi muito cansativo;Es war sehr anstrengend;[L05]
O céu;der Himmel;[L05]
Nuvens brancas;weiße Wolken;[L05]
Chove;es regnet;[L05] chover
Inverno;Winter;[L05]
Verão;Sommer;[L05]
Primavera;Frühling;[L05]
Outono;Herbst;[L05]
Flores amarelas;gelbe Blumen;[L05]
Árvores;Bäume;[L05]
Que idade tem a sua namorada?;Wie alt ist deine Freundin?;[L05]
Como ela é?;Wie ist sie?;[L05] Beschreibung mit ser
De que cor são os olhos dela?;Welche Augenfarbe hat sie?;[L05]
Comprido;lang;[L05]
Levar;nehmen / mitnehmen;[L05]
Azuis;blau (Plural);[L05]
Arco-íris;Regenbogen;[L05]
Estou com medo;Ich habe Angst;[L05] estar com + Substantiv
Estou com fome;Ich habe Hunger;[L05]
Estou com saudades;Ich habe Sehnsucht;[L05]
Estou com sede;Ich habe Durst;[L05]
Estou com inveja;Ich bin neidisch;[L05]
Estou com vontade de;Ich habe Lust auf;[L05]
Estou com calor;Mir ist heiß;[L05]
Estou com sono;Ich bin müde / schläfrig;[L05]
Estou com dor de dentes;Ich habe Zahnschmerzen;[L05]
Estou contente;Ich bin zufrieden / froh;[L05] estar + Adjektiv
Como foi o seu dia ontem?;Wie war dein Tag gestern?;[L06]
Foi bom;Es war gut;[L06]
Estava ensolarado;Es war sonnig;[L06] Imperfeito
Fui tomar café;Ich war Kaffee trinken;[L06]
Cozinhar;kochen;[L06]
Cozinhei;ich habe gekocht;[L06] Pretérito
Comi;ich habe gegessen;[L06] comer Pretérito
Tu gostas de cozinhar?;Magst du kochen?;[L06]
Arroz;Reis;[L06]
Peixe;Fisch;[L06]
Massa;Pasta / Nudeln;[L06]
Carne;Fleisch;[L06]
Tenho preguiça de;Ich habe keine Lust auf;[L06]
Peito de frango;Hähnchenbrust;[L06]
Frango;Hähnchen;[L06]
Fígado;Leber;[L06]
Feijão;Bohnen;[L06]
Aveia;Hafer;[L06]
Ovos;Eier;[L06]
Cebola;Zwiebel;[L06]
Alho;Knoblauch;[L06]
Limão;Zitrone;[L06]
Cenoura;Karotte;[L06]
Temperos;Gewürze;[L06]
Páprica;Paprika (Gewürz);[L06]
Folha de louro;Lorbeerblatt;[L06]
Quando tu vais para Portugal?;Wann fährst du nach Portugal?;[L06]
Em maio;im Mai;[L06]
Último / Última;letzte/r;[L06]
No último fim de semana;letztes Wochenende;[L06]
Viajei;ich bin gereist;[L06] viajar Pretérito
Cansativo;anstrengend;[L06]
Tem / Há;es gibt;[L06]
Cidade natal;Heimatstadt;[L06]
Visitar;besuchen;[L06]
Comida salgada;salziges Essen;[L06]
Esse tipo de feijão;diese Sorte Bohnen;[L06]
Principal;Haupt-;[L06]
Fome;Hunger;[L06]
Com fome;hungrig;[L06]
Nunca;nie;[L06] Häufigkeit
Sempre;immer;[L06]
Às vezes;manchmal;[L06]
Onde estavas?;Wo warst du?;[L07] estar Imperfeito
Eu estava;Ich war;[L07] Imperfeito
Eu fui ao médico;Ich war beim Arzt;[L07] ir Pretérito
Secura na pele;trockene Haut;[L07]
Eu vou;Ich gehe;[L07] ir Presente
Também;auch;[L07]
Comecei a escrever;Ich habe angefangen zu schreiben;[L07] começar a + Inf
Mensagens;Nachrichten;[L07]
Parceira de negócios;Geschäftspartnerin;[L07]
O que fizeste?;Was hast du gemacht?;[L07] fazer Pretérito
O que tens feito?;Was hast du so gemacht?;[L07] Pretérito Perfeito Composto
Terraço;Dachterrasse;[L07]
Não é bem um restaurante;Es ist nicht wirklich ein Restaurant;[L07]
Nós fomos lá;Wir gingen dorthin;[L07] ir Pretérito
Matraquilhos;Tischfußball / Kicker;[L07] PT-PT
Ficámos lá;Wir blieben da;[L07] ficar Pretérito (PT-PT mit Akzent)
Saímos;Wir sind weggegangen;[L07] sair Pretérito
Não consegui acabar;Ich konnte nicht aufessen;[L07] conseguir Pretérito
Eu estava muito cheio;Ich war sehr satt;[L07] Imperfeito
Doce de mandioca;Maniok-Süßspeise;[L07]
Eu só fiquei em casa;Ich bin nur zu Hause geblieben;[L07]
Eu não saí;Ich bin nicht rausgegangen;[L07]
Saí para caminhar;Ich ging spazieren;[L07]
Foi tranquilo;Es war ruhig;[L07]
Encontrei;Ich traf;[L07] encontrar Pretérito
Almoçámos juntos;Wir aßen zusammen zu Mittag;[L07]
Comemos comida alemã;Wir aßen deutsches Essen;[L07]
Restaurante tradicional;traditionelles Restaurant;[L07]
Eu fiz desporto;Ich habe Sport gemacht;[L07]
Eu fui à sauna;Ich war in der Sauna;[L07]
Subestimada;unterschätzt;[L07]
Pesada;deftig / schwer (Essen);[L07]
Comida favorita;Lieblingsessen;[L07]
Pequenos pepinos;kleine Gurken;[L07]
Queijos;Käse (Plural);[L07]
Pão;Brot;[L07]
Depois de;nach (zeitlich);[L07]
Depois desta aula;nach dieser Stunde;[L07]
Ganhar;gewinnen / verdienen;[L07]
Hora;Stunde / 1 Uhr;[L07] 1 hora (Singular)
Horas;Stunden / Uhr (ab 2);[L07] São 2 horas
Com frequência;oft;[L07]
Duas a três vezes por semana;zwei bis drei Mal pro Woche;[L07]
Quase;fast;[L07]
Poucas vezes;selten / wenige Male;[L07]
Levar;nehmen / mitnehmen;[L07]
Para ti;für dich;[L07]
Cultura de comer fora;Kultur, auswärts zu essen;[L07]
Caro;teuer;[L07]
Mistura;Mischung;[L07]
Uma vez por semana;einmal pro Woche;[L07]
O clima está muito bom;Das Wetter ist sehr gut;[L08]
A temperatura está muito boa;Die Temperatur ist sehr gut;[L08]
Fiz desporto hoje de manhã;Ich habe heute Morgen Sport gemacht;[L08]
Infelizmente;leider;[L08]
Eu também fui ao ginásio;Ich war auch im Fitnessstudio;[L08]
Que tipo de treino fazes?;Welche Art von Training machst du?;[L08]
Hoje treinei todo o corpo;Heute habe ich Full-Body trainiert;[L08]
Ontem corri 7 quilómetros;Gestern bin ich 7 km gelaufen;[L08]
Eu tento correr;Ich versuche zu laufen;[L08] tentar + Inf
Duas vezes por semana;zwei Mal pro Woche;[L08]
Eu gostaria;Ich würde gerne;[L08] Konditional
De correr mais;mehr zu laufen;[L08]
Quando começaste?;Wann hast du angefangen?;[L08]
Colocar / Pôr;setzen / legen / stellen;[L08]
Consistência;Konsistenz / Beständigkeit;[L08]
Fator mais importante;wichtigster Faktor;[L08]
Sucesso;Erfolg;[L08]
Sem consistência, sem sucesso;Ohne Konsistenz kein Erfolg;[L08] Spruch
Tu tens razão;Du hast Recht;[L08]
Como vai o seu trabalho?;Wie läuft deine Arbeit?;[L08]
Está bem;Es geht gut;[L08]
Novo cliente;neuer Kunde;[L08]
Tudo vai bem;Alles läuft gut;[L08]
Precisamos resolver;Wir müssen lösen;[L08]
Algumas coisinhas;ein paar Kleinigkeiten;[L08]
Eu construí;Ich habe gebaut;[L08] construir Pretérito
Aplicação;App / Anwendung;[L08]
Estudar Português;Portugiesisch lernen;[L08]
Está a funcionar bem;Es funktioniert gut;[L08] estar a + Inf
A aplicação atende minhas necessidades;Die App deckt meine Bedürfnisse ab;[L08]
Aprendizagem;Lernen / Lernprozess;[L08]
Que horas são?;Wie spät ist es?;[L08]
São 12 horas e 27 minutos;Es ist 12:27 Uhr;[L08]
Fazer a mala;den Koffer packen;[L08]
Vou viajar amanhã;Ich werde morgen reisen;[L08] ir + Inf = Zukunft
Visitar um parceiro de negócios;einen Geschäftspartner besuchen;[L08]
Ver o médico;zum Arzt gehen;[L08]
Sessão de fotos;Foto-Session;[L08]
Quero te contar uma coisa;Ich möchte dir etwas erzählen;[L08]
Mudar-se;umziehen;[L08] reflexiv
Um novo capítulo;ein neues Kapitel;[L08]
Não há sucesso sem riscos;Kein Erfolg ohne Risiko;[L08]
Principalmente;vor allem;[L08]
Não tens muito a perder;Du hast nicht viel zu verlieren;[L08]
Viver na vila;in einem Dorf leben;[L08]
Tranquilo;ruhig;[L08]
Dá-te muita energia;Es gibt dir viel Energie;[L08]
Focar no que é importante;sich auf das Wichtige konzentrieren;[L08]
Construíram uma casa;sie haben ein Haus gebaut;[L08]
Para o meu futuro;für meine Zukunft;[L08]
Quão grande?;Wie groß?;[L08]
Inteligência artificial;künstliche Intelligenz;[L08]
Tem sol;Es scheint die Sonne;[L09]
Está ensolarado;Es ist sonnig;[L09]
22 graus;22 Grad;[L09]
Não há problema;Kein Problem;[L09]
Fora;draußen;[L09]
Relaxei;Ich habe entspannt;[L09] relaxar Pretérito
Tinha sol;Es war sonnig;[L09] Imperfeito
No domingo fiz a mesma coisa;Am Sonntag habe ich dasselbe gemacht;[L09]
Na sexta-feira;am Freitag;[L09]
Colega;Kollege/in;[L09]
Parceiro de negócios;Geschäftspartner;[L09]
Fiz fotos;Ich habe Fotos gemacht;[L09]
Uso privado / pessoal;private Nutzung;[L09]
Comi sushi;Ich habe Sushi gegessen;[L09]
Corri fora;Ich bin draußen gelaufen;[L09] correr Pretérito
Só relaxei;Ich habe nur entspannt;[L09]
Caminhei / Passeei / Dei voltas;Ich bin spazieren gegangen;[L09]
Na natureza;in der Natur;[L09]
Num parque;in einem Park;[L09] em + um = num
Numa floresta;in einem Wald;[L09] em + uma = numa
Desestressar;Stress abbauen / entspannen;[L09]
De novo / Novamente;wieder / nochmal;[L09]
Os pais do meu amigo;die Eltern meines Freundes;[L09]
Dar;geben;[L09]
Eles nos deram;Sie gaben uns;[L09] dar Pretérito + Pronomen
Qual fruta?;Welche Frucht?;[L09]
Quais são as tuas frutas favoritas?;Was sind deine Lieblingsfrüchte?;[L09] quais Plural
Graviola;Stachelannone;[L09] tropische Frucht
Papaia;Papaya;[L09]
Ananás;Ananas;[L09] PT-PT (BR: abacaxi)
Morango;Erdbeere;[L09]
Eu nunca provei;Ich habe nie probiert;[L09] provar Pretérito
Quando eu vivia em Portugal;Als ich in Portugal lebte;[L09] Imperfeito
Os meus dentes ficam arrepiados;Meine Zähne werden empfindlich;[L09]
Época de morango;Erdbeerzeit;[L09]
Delicioso;köstlich;[L09]
Diretamente com produtores;direkt vom Erzeuger;[L09]
O que tu achas do meu progresso?;Was hältst du von meinem Fortschritt?;[L09]
Quanto mais tu tentas, mais chances tens;Je mehr du versuchst, desto mehr Chancen hast du;[L09] Spruch
Eu notei;Ich habe bemerkt;[L09] notar Pretérito
Estou a aprender todos os dias;Ich lerne jeden Tag;[L09] estar a + Inf
Aprendo vocabulários;Ich lerne Vokabeln;[L09]
Converso por mensagem;Ich unterhalte mich per Nachricht;[L09]
Até agora;bis jetzt;[L09]
Estou muito satisfeito;Ich bin sehr zufrieden;[L09]
De não entender nada;von nichts verstehen;[L09]
Para entender conversações básicas;zu Grundkonversationen verstehen;[L09]
Da forma como estás a fazer;so wie du es machst;[L09]
Eu acho que deves;Ich denke, du solltest;[L09]
Continuar a aprender contigo;weiter mit dir lernen;[L09]
Contigo;mit dir;[L09]
Comigo;mit mir;[L09]
Connosco / Conosco;mit uns;[L09] PT-PT: connosco
Convosco;mit euch;[L09]
Pouco a pouco;Stück für Stück;[L09]
Vamos chegar lá;Wir werden es schaffen;[L09]
Infância;Kindheit;[L09]
Quando era criança;als ich Kind war;[L09] Imperfeito
Rotina semanal;Wochenroutine;[L09]
Durante o dia;während des Tages;[L09]
Durante a semana;während der Woche;[L09]
